COUNTRY_NAME,Count of ranking
United States of America,181
Japan,116
United Kingdom,101
China,91
India,63
Brazil,52
Spain,50
Italy,49
Germany,48
Russia,48
Iran,47
Turkey,43
France,41
Taiwan,38
Australia,37
South Korea,35
Canada,30
Chile,21
Egypt,21
Poland,19
Czech Republic,18
Thailand,17
Mexico,16
Pakistan,16
Malaysia,15
Netherlands,13
Romania,13
Portugal,12
Sweden,12
Austria,11
South Africa,11
Switzerland,11
Algeria,10
Greece,10
Saudi Arabia,10
Colombia,9
Finland,9
Hungary,9
Indonesia,9
Ireland,9
Ukraine,9
Belgium,8
New Zealand,8
Denmark,7
Israel,7
Hong Kong,6
Nigeria,6
Slovakia,6
Tunisia,6
Jordan,5
Morocco,5
Norway,5
United Arab Emirates,5
Argentina,4
Lebanon,4
Lithuania,4
Cyprus,3
Estonia,3
Iraq,3
Kazakhstan,3
Latvia,3
Vietnam,3
Bangladesh,2
Croatia,2
Iceland,2
Macao,2
Peru,2
Philippines,2
Serbia,2
Singapore,2
Slovenia,2
Sri Lanka,2
Venezuela,2
Belarus,1
Botswana,1
Brunei Darussalam,1
Bulgaria,1
Costa Rica,1
Cuba,1
Georgia,1
Ghana,1
Jamaica,1
Kenya,1
Kuwait,1
Luxembourg,1
Malta,1
Montenegro,1
Nepal,1
Northern Cyprus,1
Oman,1
Puerto Rico,1
Qatar,1
Uganda,1